bcsid,bd9totce,bd9hnvq,bd9ms,bd9partp,b9groa,b9cns8,b9ten,b9cmsex,hinvq00,wm1,wm2,wm3,wm4,wm5,c1,c2,c3,c4,b11sex,bd11nochh,bd1psoc,bd1mage,bd1agefb,bd1cntry,bd1regn,a0166,bd3read,bd3maths,bd3psoc,bd3inc,bd4read,bd4psoc,bd4mal,mathscore,y,d,sex_raw,female,soc_birth,soc_10,soc_16,mage,mage_fb,parity,birth_order,read_10_z,math_10_z,cog_10,vocab_16_z,math_16_z,cog_16,inc_10,malaise_16,m_trad_gender,m_profamily,m_earnings,m_log_earn,m_partner
B17256P,3,2,2,1,10000,2,2,2,0,4,4,2,1,4,2,2,2,2,2,2,5,38,36,1,2,1,0.28,37,5,4,NA,NA,NA,NA,3,0,2,1,1,1,NA,38,36,1,2,0.147614607811547,-0.7102953667628854,-0.2813403794756692,NA,NA,NA,4,NA,3.3333333333333335,2,10000,9.210440366976517,1
B17257Q,0,1,8,3,560,6,1,2,0,3,4,3,3,4,3,3,4,4,NA,NA,7,35,21,1,7,4,-2.28,33,2,5,NA,NA,NA,NA,0,0,2,1,-1,4,NA,35,21,4,5,-2.5145943552764862,-1.0476691064003392,-1.7811317308384127,NA,NA,NA,5,NA,3.3333333333333335,3.5,560,6.329720905522696,0
B17259S,0,3,2,1,22000,5,2,1,3,3,5,1,4,5,5,2,5,5,1,0,8,29,29,1,5,0,NA,54,5,1,NA,5,8,NA,0,3,1,0,-2,1,1,29,29,0,1,NA,0.723543026696293,NA,NA,NA,NA,1,8,3,5,22000,9.99884318585288,1
B17265Q,2,1,2,1,900,6,4,2,1,5,4,3,3,4,3,3,4,4,NA,NA,5,23,20,3,10,2,-1.08,38,6,3,-0.94,NA,13,26,2,1,2,1,1,0,NA,23,20,2,3,-1.2666839038289706,-0.625951931853522,-0.9463179178412463,-1.0235932663776017,-1.0239216283367338,-1.0237574473571678,3,13,4,3.5,900,6.803505257608338,1
B17267S,0,5,2,1,2629,2,2,2,4,4,4,3,3,5,4,1,3,4,2,0,7,25,23,1,5,1,NA,NA,4,3,NA,NA,11,29,0,4,2,1,-1,2,NA,25,23,1,2,NA,NA,NA,NA,-0.7614121663350185,NA,3,11,3.6666666666666665,3.5,2629,7.874739125171811,1
B17268T,0,2,8,NA,NA,4,2,1,2,4,4,2,2,3,2,4,2,2,1,0,4,27,22,1,5,1,-0.68,38,5,NA,NA,5,-2,NA,0,2,1,0,2,1,1,27,22,1,2,-0.8507137533464655,-0.625951931853522,-0.7383328425999938,NA,NA,NA,NA,-2,3.3333333333333335,2,NA,NA,NA
B17270M,1,2,2,1,NA,9,1,2,2,4,4,3,4,4,4,2,4,3,2,0,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,5,12,NA,1,2,2,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,12,3.6666666666666665,4,NA,NA,1
B17277U,5,3,2,1,788,2,2,1,3,2,2,4,4,3,2,3,2,2,1,5,5,40,40,1,4,0,1.24,63,NA,NA,NA,NA,NA,NA,5,3,1,0,1,NA,NA,40,40,0,1,1.1459429689695595,1.482633940880564,1.3142884549250617,NA,NA,NA,NA,NA,2.6666666666666665,2,788,6.670766320845874,1
B17278V,2,4,2,1,10000,1.2,2,2,4,2,2,4,5,4,4,2,2,2,2,2,5,29,22,1,4,1,NA,47,5,2,NA,5,11,NA,2,4,2,1,1,1,1,29,22,1,2,NA,0.13313898233074895,NA,NA,NA,NA,2,11,2.6666666666666665,3,10000,9.210440366976517,1
B17280P,2,0,2,1,25000,2,2,1,0,5,4,3,3,5,4,1,4,2,1,2,5,23,23,1,5,0,0.6,41,3,2,NA,NA,-2,NA,2,0,1,0,1,3,NA,23,23,0,1,0.4803907281975511,-0.3729216271254317,0.05373455053605969,NA,NA,NA,2,-2,4,4,25000,10.12667110305036,1
B17281Q,2,4,8,3,28000,1.2,2,2,4,3,3,3,2,3,3,2,3,3,2,2,7,25,18,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,1,-1,NA,NA,25,18,1,2,NA,NA,NA,NA,NA,NA,NA,NA,3,3,28000,10.239995502805316,0
B17285U,2,4,2,1,30000,1.2,2,2,4,4,4,3,3,4,3,2,4,2,2,1,5,38,38,1,1,0,NA,NA,NA,NA,NA,5,7,38,2,4,2,1,1,NA,1,38,38,0,1,NA,NA,NA,NA,0.026116219670127342,NA,NA,7,3.6666666666666665,3.5,30000,10.308985993422082,1
B17286V,3,4,2,1,400,2,2,2,4,4,8,8,8,8,2,8,8,8,2,3,5,24,21,2,9,1,1.08,43,3,8,NA,5,-2,NA,3,4,2,1,1,3,1,24,21,1,2,0.9795549087765574,-0.20423475730670482,0.3876600757349263,NA,NA,NA,8,-2,6.666666666666667,5,400,5.993961427306569,1
B17287W,2,3,3,NA,57000,1.1,2,1,3,3,2,4,4,5,4,2,2,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,5,0,1.28,5,5,NA,2,3,1,0,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1.2553454764794005,NA,NA,0,5,3,3,57000,10.950824090522445,NA
